case,comparison,parameter,n,risk_difference,MCSE
cf_K2,coupled - projected_initial,cumulative_relative_0,100,-0.010214929089443213,0.002141155521278487
cf_K2,coupled - projected_initial,cumulative_relative_1,100,-2.500771749865322,0.15872901103961454
cf_K2,coupled - projected_initial,baseline_relative_ISE_0,100,-0.02847356602586298,0.0032993245772709235
cf_K2,coupled - projected_initial,baseline_relative_ISE_1,100,-3.576466285171345,0.2383337155221818
cf_K2,coupled - projected_initial,prediction_mse,100,-0.06569712608968188,0.0010364543502840596
cf_K2,coupled - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_K2,fallback - projected_initial,treatment_0,100,-0.0022988501490338997,0.0005682803790391418
cf_K2,fallback - projected_initial,FEV10_0,100,-0.00022451772446869918,7.018203494037474e-05
cf_K2,fallback - projected_initial,treatment_1,100,-0.007732800613474716,0.0020351924525868837
cf_K2,fallback - projected_initial,FEV10_1,100,-0.00048167607840509627,0.00011323899879253448
cf_K2,fallback - projected_initial,nu0,100,0.007000985761122473,0.0023393801760003
cf_K2,fallback - projected_initial,nu1,100,0.0006863620865693338,0.00048085322843231717
cf_K2,fallback - projected_initial,theta,100,0.003451749870420871,0.000551748500464057
cf_K2,fallback - projected_initial,cumulative_relative_0,100,-0.010214929089443213,0.002141155521278487
cf_K2,fallback - projected_initial,cumulative_relative_1,100,-2.500771749865322,0.15872901103961454
cf_K2,fallback - projected_initial,baseline_relative_ISE_0,100,-0.02847356602586298,0.0032993245772709235
cf_K2,fallback - projected_initial,baseline_relative_ISE_1,100,-3.576466285171345,0.2383337155221818
cf_K2,fallback - projected_initial,prediction_mse,100,-0.06569712608968188,0.0010364543502840596
cf_K2,fallback - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_K8,coupled - initial,treatment_0,100,-0.0027958852562550178,0.0006700910467354216
cf_K8,coupled - initial,FEV10_0,100,-0.0003117228656914947,8.547255583541307e-05
cf_K8,coupled - initial,treatment_1,100,-0.01932507179372648,0.003455084490725297
cf_K8,coupled - initial,FEV10_1,100,-0.0016252473525145297,0.00023729730774611378
cf_K8,coupled - initial,nu0,100,0.009210138404676483,0.0024822672019735002
cf_K8,coupled - initial,nu1,100,-0.0010608473175800384,0.00041843331333003126
cf_K8,coupled - initial,theta,100,0.0034235548629379022,0.000550617585475057
cf_K8,coupled - initial,cumulative_relative_0,100,-0.01256584352222265,0.002539868232746657
cf_K8,coupled - initial,cumulative_relative_1,100,-8.895763053009825,0.6748241907960228
cf_K8,coupled - initial,baseline_relative_ISE_0,100,-0.03296682533950393,0.0038327460632136836
cf_K8,coupled - initial,baseline_relative_ISE_1,100,-13.882173230003492,1.2400935156164754
cf_K8,coupled - initial,prediction_mse,100,-0.07810373362024568,0.0010874737929425567
cf_K8,coupled - initial,negative_prediction_fraction,100,0.0,0.0
cf_K8,coupled - projected_initial,treatment_0,100,-0.0027958852562550178,0.0006700910467354216
cf_K8,coupled - projected_initial,FEV10_0,100,-0.0003117228656914947,8.547255583541307e-05
cf_K8,coupled - projected_initial,treatment_1,100,-0.01932507179372648,0.003455084490725297
cf_K8,coupled - projected_initial,FEV10_1,100,-0.0016252473525145297,0.00023729730774611378
cf_K8,coupled - projected_initial,nu0,100,0.009210138404676483,0.0024822672019735007
cf_K8,coupled - projected_initial,nu1,100,-0.0010608473175800384,0.0004184333133300312
cf_K8,coupled - projected_initial,theta,100,0.0034235548629379022,0.000550617585475057
cf_K8,coupled - projected_initial,cumulative_relative_0,100,-0.01256584352222265,0.002539868232746657
